Device,Day,Hour,Type,Sub-Type,Value
PV,0,0,Generated,Electricity,0.0
PV,0,1,Generated,Electricity,0.0
PV,0,2,Generated,Electricity,0.0
PV,0,3,Generated,Electricity,0.0
PV,0,4,Generated,Electricity,0.0
PV,0,5,Generated,Electricity,0.0
PV,0,6,Generated,Electricity,0.0
PV,0,7,Generated,Electricity,0.02
PV,0,8,Generated,Electricity,0.2
PV,0,9,Generated,Electricity,0.46
PV,0,10,Generated,Electricity,0.69
PV,0,11,Generated,Electricity,0.86
PV,0,12,Generated,Electricity,0.93
PV,0,13,Generated,Electricity,0.9
PV,0,14,Generated,Electricity,0.78
PV,0,15,Generated,Electricity,0.58
PV,0,16,Generated,Electricity,0.33
PV,0,17,Generated,Electricity,0.08
PV,0,18,Generated,Electricity,0.0
PV,0,19,Generated,Electricity,0.0
PV,0,20,Generated,Electricity,0.0
PV,0,21,Generated,Electricity,0.0
PV,0,22,Generated,Electricity,0.0
PV,0,23,Generated,Electricity,0.0
PV,1,0,Generated,Electricity,0.0
PV,1,1,Generated,Electricity,0.0
PV,1,2,Generated,Electricity,0.0
PV,1,3,Generated,Electricity,0.0
PV,1,4,Generated,Electricity,0.0
PV,1,5,Generated,Electricity,0.0
PV,1,6,Generated,Electricity,0.0
PV,1,7,Generated,Electricity,0.02
PV,1,8,Generated,Electricity,0.2
PV,1,9,Generated,Electricity,0.46
PV,1,10,Generated,Electricity,0.69
PV,1,11,Generated,Electricity,0.86
PV,1,12,Generated,Electricity,0.93
PV,1,13,Generated,Electricity,0.9
PV,1,14,Generated,Electricity,0.78
PV,1,15,Generated,Electricity,0.58
PV,1,16,Generated,Electricity,0.33
PV,1,17,Generated,Electricity,0.08
PV,1,18,Generated,Electricity,0.0
PV,1,19,Generated,Electricity,0.0
PV,1,20,Generated,Electricity,0.0
PV,1,21,Generated,Electricity,0.0
PV,1,22,Generated,Electricity,0.0
PV,1,23,Generated,Electricity,0.0
PV,2,0,Generated,Electricity,0.0
PV,2,1,Generated,Electricity,0.0
PV,2,2,Generated,Electricity,0.0
PV,2,3,Generated,Electricity,0.0
PV,2,4,Generated,Electricity,0.0
PV,2,5,Generated,Electricity,0.0
PV,2,6,Generated,Electricity,0.0
PV,2,7,Generated,Electricity,0.02
PV,2,8,Generated,Electricity,0.2
PV,2,9,Generated,Electricity,0.46
PV,2,10,Generated,Electricity,0.69
PV,2,11,Generated,Electricity,0.86
PV,2,12,Generated,Electricity,0.93
PV,2,13,Generated,Electricity,0.9
PV,2,14,Generated,Electricity,0.78
PV,2,15,Generated,Electricity,0.58
PV,2,16,Generated,Electricity,0.33
PV,2,17,Generated,Electricity,0.08
PV,2,18,Generated,Electricity,0.0
PV,2,19,Generated,Electricity,0.0
PV,2,20,Generated,Electricity,0.0
PV,2,21,Generated,Electricity,0.0
PV,2,22,Generated,Electricity,0.0
PV,2,23,Generated,Electricity,0.0
